"Rank","Title","Rating","Appraise","Director","Actor","Type","Area","Sales","Date","Publish"
783,"魔弦传说 Kubo and the Two Strings",7.4,50151,"特拉维斯·奈特","查理兹·塞隆/马修·麦康纳/拉尔夫·费因斯","动画/奇幻/冒险","美国",4393,2016-01-13,"进口"
784,"昆塔：反转星球",6.4,799,"李炼","李正翔/洪海天/陶典","动画","中国大陆",4382,2017-10-01,"国产"
785,"控制",5.7,19295,"毕国智","吴彦祖/姚晨/任达华","动作/科幻/犯罪/悬疑","香港/中国大陆",4378,2013-11-22,"国产"
786,"倾城之泪",4.8,47666,"黄真真","周冬雨/李治廷/任贤齐","剧情/爱情","中国大陆",4376,2011-12-22,"国产"
787,"猪猪侠之勇闯巨人岛",3.7,1688,"古志斌/陆锦明","陆双/祖晴/陈志荣","喜剧/动画/冒险","中国大陆",4365,2014-05-31,"国产"
788,"绣花鞋",4.5,12670,"叶伟民","林心如/莫小棋/叶熙祺","剧情/恐怖","中国大陆",4339,2012-03-31,"国产"
789,"冰河追凶",5.7,15442,"徐伟","梁家辉/佟大为/周冬雨","动作/犯罪/悬疑","中国大陆",4320,2016-04-15,"国产"
790,"江山美人",4.5,17849,"程小东","黎明/陈慧琳/甄子丹","动作/剧情/爱情/战争","中国/香港",4300,2008-03-07,"国产"
791,"十月初五的月光",5.4,13681,"叶念琛","张智霖/陈乔恩/佘诗曼","剧情/爱情","中国大陆/香港",4261,2015-11-20,"国产"
792,"大耳朵图图之美食狂想曲",5.6,1141,"速达","潘延/范楚绒/胡谦","喜剧/动画/冒险","中国大陆",4247,2017-07-28,"国产"
793,"新大头儿子和小头爸爸之秘密计划",4.3,1111,"何澄","刘纯燕/董浩/鞠萍","儿童/动画/家庭","中国大陆",4246,2014-09-26,"国产"
794,"冰雪大作战 Snowtime!",6.1,1835,"让-弗朗索瓦·波略特/弗兰克·布里森","安吉拉·嘉鲁皮/玛丽欧·沃尔夫/露辛达·戴维斯","喜剧/动画/家庭","加拿大",4215,2017-04-01,"进口"
795,"乐高蝙蝠侠大电影 The LEGO Batman Movie",8,31064,"克里斯·麦凯","威尔·阿奈特/罗莎里奥·道森/拉尔夫·费因斯","喜剧/动作/动画/冒险","美国",4211,2017-03-03,"进口分账"
796,"真相禁区",4.5,6109,"麦咏麟","任达华/霍建华/张赫","犯罪/悬疑","中国大陆",4205,2016-01-22,"国产"
797,"宅女侦探桂香",4.1,19364,"彭顺","王珞丹/周渝民/任达华","喜剧/爱情/悬疑","中国大陆/香港/台湾",4127,2015-08-13,"国产"
798,"气喘吁吁",4,15936,"郑重","葛优/约翰·萨维奇/林熙蕾","喜剧/剧情","中国",4111,2009-08-28,"国产"
799,"家有喜事2009",5.4,42988,"谷德昭","古天乐/吴君如/黄百鸣","喜剧","香港",4105,2009-01-22,"国产"
800,"李雷和韩梅梅",3.4,15049,"杨永春","张子枫/张逸杰/成梓宁","剧情/喜剧/爱情","中国大陆",4057,2016-06-09,"国产"
801,"了不起的菲丽西 Ballerina",6.5,8999,"艾瑞克·莎莫/艾瑞克·韦林","艾丽·范宁/戴恩·德哈恩/卡莉·蕾·杰普森","喜剧/动画/冒险/歌舞","法国/加拿大",4031,2017-02-01,"进口"
802,"奥林匹斯的陷落 Olympus Has Fallen",6.3,45987,"安东尼·福奎阿","杰拉德·巴特勒/艾伦·艾克哈特/芬利·雅克布森","动作","美国",4025,2013-12-29,"进口"
803,"毒。诫 毒。誡",4.8,10594,"刘国昌","刘青云/林家栋/古天乐","剧情/动作/犯罪","中国大陆/香港",4017,2017-05-12,"国产"
804,"三个火枪手 The Three Musketeers",6.7,44266,"保罗·安德森","马修·麦克费登/米拉·乔沃维奇/卢克·伊万斯","动作/冒险/爱情","法国/美国/英国/德国",3986,2012-05-15,"进口"
805,"摇滚藏獒",6.8,5819,"艾什·布兰农","郭麒麟/路知行/郭德纲","动画/音乐","中国大陆/美国/香港",3968,2016-07-08,"国产"
806,"将错就错",3.8,8212,"王宁","小沈阳/田亮/陈小春","喜剧/爱情","中国大陆",3954,2015-03-05,"国产"
807,"斑马总动员 Khumba",5.7,1082,"安东尼·希尔瓦斯顿","杰克·T·奥斯汀/史蒂夫·布西密/洛雷塔·迪瓦恩","动画/冒险/家庭","南非",3939,2014-12-31,"进口"
808,"辛巴达历险记2013",4.8,412,"程炳峰/顾培欣/Benpineko","杨鸥/黄莺/杨梦露","动画/冒险","中国大陆",3912,2013-05-31,"国产"
809,"水啸雾都 Flood",5.4,8034,"托尼·米歇尔","罗伯特·卡莱尔/杰萨琳·吉尔西格/汤姆·康特奈","动作/灾难","英国/南非/加拿大",3900,2008-09-14,"进口分账"
810,"雪花秘扇 Snow Flower and the Secret Fan",5.6,57973,"王颖","李冰冰/全智贤/姜武","剧情/历史","中国大陆/美国",3899,2011-06-24,"国产"
811,"杨门女将之军令如山",3.4,18750,"陈勋奇","张柏芝/任贤齐/刘晓庆","剧情/动作/古装","中国大陆/香港",3897,2011-11-18,"国产"
812,"钢铁飞龙之再见奥特曼",3,2703,"王巍","侯勇/大张伟/金晨","动作/科幻/动画","中国大陆",3881,2017-10-01,"国产"
813,"72家租客",6.7,64118,"曾志伟/叶念琛/钟澍佳","张学友/曾志伟/袁咏仪","喜剧","香港",3863,2010-02-11,"国产"
814,"美丽密令",5.4,39649,"王晶","蔡卓妍/吴君如/陆毅","喜剧","香港/中国大陆",3835,2010-03-30,"国产"
815,"巴啦啦小魔仙之魔箭公主",4.6,776,"陈诚","赵粤/戴萌/赵今麦","奇幻/冒险","中国大陆",3831,2015-10-01,"国产"
816,"大武当之天地密码",3.8,22520,"梁柏坚","赵文卓/杨幂/樊少皇","喜剧/动作/冒险","中国大陆/香港",3807,2012-07-06,"国产"
817,"神奇海盗团 The Pirates! In an Adventure with Scientists!",6.9,9516,"彼得·洛伊德/杰夫·纽威特","休·格兰特/萨尔玛·海耶克/大卫·田纳特","喜剧/动画/家庭/冒险","英国/美国",3800,2012-06-01,"进口"
818,"圣斗士星矢：圣域传说 聖闘士星矢 Legend of Sanctuary",6.3,15699,"佐藤敬一","石川界人/赤羽根健治/小野贤章","动画","日本",3785,2016-02-26,"进口"
819,"魔侠传之唐吉可德",4.3,6121,"阿甘","郭涛/林嘉欣/王刚","剧情/喜剧/动作/爱情/武侠/古装","中国大陆",3775,2010-10-15,"国产"
820,"垫底辣妹 ビリギャル",8.1,144594,"土井裕泰","有村架纯/伊藤淳史/吉田羊","剧情/家庭","日本",3758,2016-04-14,"进口"
821,"我最好朋友的婚礼",4.3,16735,"陈飞宏","舒淇/冯绍峰/宋茜","喜剧/爱情","中国大陆/美国",3744,2016-08-05,"国产"
822,"人在囧途",7.4,288843,"叶伟民","徐峥/王宝强/李曼","喜剧","中国大陆",3739,2010-06-04,"国产"
823,"神探驾到 浮華宴",4.4,10923,"黄百鸣/邱礼涛","古天乐/张翰/曾志伟","喜剧/爱情/悬疑/奇幻","香港/中国大陆",3732,2015-02-06,"国产"
824,"甜蜜杀机 甜蜜殺機",6,12379,"连奕琦","苏有朋/林依晨/吴中天","喜剧/爱情/犯罪","台湾",3723,2014-03-07,"进口"
825,"坚不可摧 Unbroken",6.8,20025,"安吉丽娜·朱莉","杰克·奥康奈尔/多姆纳尔·格里森/加内特·赫德兰","剧情/传记/战争/运动","美国",3695,2015-01-30,"进口分账"
826,"绝命航班 Last Flight",3.4,13603,"周文武贝","爱德·维斯特维克/朱珠/艾米丽·桑斯芮","动作/惊悚/灾难","美国/中国大陆",3679,2014-03-21,"国产"
827,"女巫季节 Season of the Witch",5.5,45441,"多米尼克·塞纳","尼古拉斯·凯奇/朗·普尔曼/斯蒂芬·坎贝尔·莫尔","动作/奇幻/冒险","美国",3674,2011-08-19,"进口"
828,"驱魔者 Priest",5.9,17699,"斯科特·查尔斯·斯图瓦特","保罗·贝坦尼/凯姆·吉甘戴/李美琪","动作/科幻/惊悚/恐怖","美国",3672,2011-11-29,"进口"
829,"不能说的秘密 不能說的·祕密",7.6,246601,"周杰伦","周杰伦/桂纶镁/黄秋生","剧情/奇幻/音乐/爱情","香港/台湾",3670,2007-07-31,"国产"
830,"有完没完",5.4,12136,"王啸坤","范伟/贾静雯/刘俊昊","剧情/喜剧","中国大陆",3670,2017-04-01,"国产"
831,"人狼大战 The Grey",6.5,22343,"乔·卡纳汉","连姆·尼森/达拉斯·罗伯特斯/弗兰克·格里罗","剧情/动作/惊悚/冒险","美国",3668,2012-05-18,"进口"
832,"那件疯狂的小事叫爱情",3.9,9949,"邹佡","陈伟霆/唐艺昕/郑秀妍","喜剧/爱情","中国大陆",3657,2016-08-12,"国产"
833,"史努比：花生大电影 The Peanuts Movie",7.3,10377,"史蒂夫·马蒂诺","诺亚·施纳普/比尔·莫伦茨/弗朗西斯卡·卡帕尔迪","喜剧/动画/冒险","美国",3648,2015-11-06,"进口分账"
834,"天亮之前",5.6,13323,"吴中天","郭富城/杨子姗/郝蕾","爱情","中国大陆/香港/台湾",3635,2016-07-22,"国产"
835,"抢劫坚果店 The Nut Job",6.2,7941,"彼得·莱佩尼奥蒂斯","威尔·阿奈特/布兰登·费舍/连姆·尼森","喜剧/动画/冒险","加拿大/韩国/美国",3629,2014-12-26,"进口"
836,"冲天火",3.6,8932,"林岭东","吴彦祖/张若昀/张静初","动作/悬疑","中国大陆",3614,2016-11-25,"国产"
837,"我的战争",4.9,18080,"彭顺","刘烨/王珞丹/杨祐宁","剧情/历史/战争","中国大陆",3605,2016-09-15,"国产"
838,"云水谣",6.9,86333,"尹力","陈坤/徐若瑄/李冰冰","剧情/爱情/战争","中国大陆/台湾",3600,2006-12-01,"国产"
839,"第一次",6.2,52797,"韩延","杨颖/赵又廷/江珊","爱情","中国大陆",3583,2012-06-08,"国产"
840,"幻体：续命游戏 Self/less",6.3,23493,"塔西姆·辛","瑞恩·雷诺兹/本·金斯利/马修·古迪","科幻/悬疑/惊悚","美国",3561,2016-05-12,"进口"
841,"笔仙惊魂3",3.2,3400,"关尔","余心恬/郭艳/郭鑫","悬疑/惊悚/恐怖","中国大陆",3541,2014-04-04,"国产"
842,"末日迷踪 Left Behind",4.2,7454,"维克·阿姆斯特朗","尼古拉斯·凯奇/查德·迈克尔·墨瑞/卡西·汤普森","动作/科幻/惊悚","美国/加拿大",3539,2016-02-26,"进口"
843,"通灵神探 Solace",6.3,21959,"阿方索·博亚尔特","安东尼·霍普金斯/科林·法瑞尔/杰弗里·迪恩·摩根","科幻/犯罪/悬疑/惊悚","美国",3536,2016-01-14,"进口"
844,"冰雪女皇之冬日魔咒 Снежная королева 2: Перезаморозка",4.8,756,"阿列克谢·特斯蒂斯林","伊莎贝拉·弗尔曼/沙尔托·科普雷/肖恩·宾","动画/家庭","俄罗斯",3534,2016-12-31,"进口"
845,"蒸发太平洋 Lost in the Pacific",3.7,7330,"周文武贝","布兰登·罗斯/张雨绮/王盛德","剧情/科幻/冒险","中国大陆/美国",3508,2016-01-29,"国产"
846,"开心超人",7.1,1773,"黄伟明","邓玉婷/祖晴/高全胜","动画/冒险","中国大陆",3505,2013-06-28,"国产"
847,"爱情呼叫转移Ⅱ：爱情左右",5.2,73099,"张建亚","林嘉欣/邓超/黄渤","喜剧/爱情","中国",3500,2008-11-26,"国产"
848,"龙骑士 Eragon",5.6,17281,"斯蒂芬·范米尔","爱德华·斯皮伊尔斯/杰瑞米·艾恩斯/西耶娜·盖尔利","动作/冒险/家庭/奇幻","美国/英国/匈牙利",3500,2007-04-05,"进口分账"
849,"忍者神龟 TMNT",6.3,21226,"KevinMunroe","诺兰·诺斯/詹姆斯·阿诺德·泰勒/米歇尔·维特菲尔德","动画/动作/冒险/喜剧/剧情/家庭/奇幻","香港/美国",3500,2007-05-18,"进口分账"
850,"太空一号 Lockout",6.1,23880,"詹姆斯·马瑟/斯蒂芬·圣·莱杰","盖·皮尔斯/玛姬·格蕾斯/彼得·斯特曼","动作/科幻/惊悚","美国/法国",3479,2012-08-07,"进口"
851,"史前怪兽 Legendary",3,3833,"埃里克·斯泰尔斯","杜夫·龙格尔/斯科特·阿金斯/黄奕","动作/惊悚/冒险","英国/中国大陆",3477,2013-12-31,"国产"
852,"那年夏天你去了哪里",4.8,13403,"周隼","宋佳/林家栋/颜卓灵","悬疑","中国大陆/香港",3467,2016-12-30,"国产"
853,"年兽大作战",5.7,2273,"张扬","雷佳音/周冬雨/陈赫","喜剧/动画/奇幻","中国大陆",3452,2016-02-08,"国产"
854,"我的新野蛮女友 <U+C5FD><U+AE30><U+C801><U+C778> <U+ADF8><U+B140> 2",3.3,10917,"赵根植","宋茜/车太贤/藤井美菜","喜剧/爱情","韩国/中国大陆",3419,2016-04-22,"国产"
855,"夜孔雀",4.6,22836,"戴思杰","刘亦菲/刘烨/余少群","剧情/爱情","中国大陆/法国",3315,2016-05-20,"国产"
856,"黑白迷宫",4.7,3765,"阚家伟","任达华/陈小春/伍允龙","剧情/动作/犯罪","中国大陆/香港",3312,2017-08-31,"国产"
857,"全城通缉",4.5,13106,"汪涛","刘烨/赵文卓/秋瓷炫","剧情/悬疑","中国大陆",3305,2014-11-06,"国产"
858,"大唐玄奘",5.2,17164,"霍建起","黄晓明/徐峥/蒲巴甲","历史","中国大陆",3303,2016-04-29,"国产"
859,"天河",4.4,1731,"宁海强/沈东","李幼斌/俞飞鸿/段奕宏","剧情","中国大陆",3280,2014-11-15,"国产"
860,"重返·狼群",8.1,7404,"亦风","李微漪","纪录片","中国大陆",3285,2017-06-16,"国产"
861,"勇士",5.5,2920,"宁海强","李东学/于小伟/聂远","动作/历史/战争","中国大陆",3270,2016-10-14,"国产"
862,"麻烦家族",4.6,10180,"黄磊","黄磊/海清/王迅","剧情/喜剧/家庭","中国大陆",3228,2017-05-11,"国产"
863,"山河故人",7.8,114104,"贾樟柯","赵涛/张译/梁景东","剧情/家庭","中国大陆/法国/日本",3220,2015-10-30,"国产"
864,"寻龙夺宝 The Dragon Pearl",3.7,4548,"马里奥·安德鲁西奥","山姆·尼尔/陈小春/王姬","动作/奇幻/冒险/家庭","澳大利亚",3212,2011-03-11,"国产"
865,"新步步惊心",4.1,17772,"宋迪","陈意涵/窦骁/杨祐宁","爱情/奇幻/古装","中国大陆",3211,2015-08-07,"国产"
866,"王牌",4.6,7535,"范建浍","林志玲/梁家辉/钟欣潼","剧情/悬疑","中国大陆",3216,2014-12-31,"国产"
867,"蜂鸟特攻 Hummingbird",6.2,24314,"斯蒂文·奈特","杰森·斯坦森/阿加塔·布泽克/薇琪·麦克卢尔","剧情/动作/犯罪/惊悚","英国/美国",3190,2014-05-09,"进口"
868,"玩命追踪 Blitz",6.1,18837,"艾略特·莱斯特","杰森·斯坦森/帕迪·康斯戴恩/艾丹·吉伦","动作/犯罪/惊悚","英国/法国/美国",3156,2012-03-16,"进口"
869,"玩偶奇兵",5.1,485,"申宇/黄燕","严丽祯/李晔/王衡","动画/奇幻/冒险","中国大陆",3121,2017-08-04,"国产"
870,"赛尔号大电影2之雷伊与迈尔斯",4,623,"王章俊/付杰","武艺/张杰/曾轶可","动画/奇幻/冒险","中国大陆",3117,2012-06-28,"国产"
871,"名侦探柯南：纯黑的恶梦 名探偵コナン 純黒の悪夢",6.2,32169,"静野孔文","高山南/山崎和佳奈/小山力也","动画/悬疑","日本",3112,2016-11-25,"进口"
872,"火海凌云 Экипаж",7.7,14760,"尼古拉·列别捷夫","丹尼拉·科兹洛夫斯基/弗拉基米尔·马什科夫/阿格尼·格鲁迪特","剧情/动作/冒险/灾难","俄罗斯",3078,2016-08-19,"进口分账"
873,"阿唐奇遇",7.1,3588,"王微","石磊/原泽宇/季冠霖","动画/奇幻/冒险","中国大陆",3038,2017-07-21,"国产"
874,"青禾男高",4,9083,"蒋卓原","景甜/欧豪/黑木美沙","剧情","中国大陆/台湾",3031,2017-07-12,"国产"
875,"间谍同盟 Allied",7,33351,"罗伯特·泽米吉斯","布拉德·皮特/玛丽昂·歌迪亚/马修·古迪","剧情/动作/爱情/战争","美国/英国",3030,2016-11-30,"进口分账"
876,"刑警兄弟 神獸巴打",5.1,4939,"戚家基","黄宗泽/金刚/曾志伟","喜剧/动作","香港/中国大陆",3024,2016-04-22,"国产"
877,"夜莺 Le Promeneur d'Oiseau",6.4,5995,"费利普·弥勒","李保田/杨心仪/李小冉","剧情/家庭","中国大陆/法国",3022,2014-10-31,"国产"
878,"土豪520",3.7,3533,"林爱华","吴镇宇/姚星彤/马天宇","喜剧/爱情","中国大陆",3013,2015-05-21,"国产"
879,"北京时间",5.2,461,"安战军","陈乔恩/李保田/马元","剧情/爱情","中国大陆",3009,2015-12-11,"国产"
880,"天才枪手 <U+0E09><U+0E25><U+0E32><U+0E14><U+0E40><U+0E01><U+0E21><U+0E2A><U+0E4C><U+0E42><U+0E01><U+0E07>",8.4,69716,"纳塔吾·彭皮里亚","茱蒂蒙·琼查容苏因/查侬·散顶腾古/依莎亚·贺苏汪","剧情/犯罪/悬疑","泰国",NA,NA,"NA"
