"Rank","Title","Rating","Appraise","Director","Actor","Type","Area","Sales","Date","Publish"
672,"超级快递",4.5,9442,"宋啸","陈赫/宋智孝/大卫·贝利","喜剧/动作","中国大陆/韩国/法国",6159,2016-12-02,"国产"
673,"剩者为王",5.6,51315,"落落","舒淇/彭于晏/潘虹","剧情/爱情","中国大陆/香港",6142,2015-11-06,"国产"
674,"刺客聂隐娘",7.2,126636,"侯孝贤","舒淇/张震/周韵","剧情/武侠/古装","台湾/中国大陆/香港",6134,2015-08-27,"国产"
675,"侠探杰克：永不回头 Jack Reacher: Never Go Back",5.9,20655,"爱德华·兹威克","汤姆·克鲁斯/寇碧·史莫德斯/罗伯特·克耐普","动作/犯罪","美国",6111,2016-10-21,"进口分账"
676,"纳尼亚传奇1：狮子、女巫和魔衣橱 The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.2,104368,"安德鲁·亚当森","乔芝·韩莉/斯堪德·凯恩斯/威廉·莫斯里","剧情/奇幻/冒险","英国/美国",6100,2006-03-08,"进口分账"
677,"星际迷航 Star Trek",7.9,97218,"J·J·艾布拉姆斯","克里斯·派恩/扎克瑞·昆图/伦纳德·尼莫伊","动作/冒险/科幻","美国/德国",6087,2009-05-15,"进口分账"
678,"未来警察",3.8,33638,"王晶","刘德华/徐熙媛/徐娇","科幻","香港/台湾",6073,2010-04-15,"国产"
679,"行动目标希特勒 Valkyrie",7,35959,"布莱恩·辛格","汤姆·克鲁斯/肯尼思·布拉纳/比尔·奈伊","剧情/历史/战争","美国/德国",6030,2009-02-26,"进口分账"
680,"秦时明月之龙腾万里",6.7,20100,"沈乐平","冯骏骅/季冠霖/沈达威","动画/奇幻/冒险/武侠","中国大陆",6018,2014-08-08,"国产"
681,"他是龙 Он - дракон",7.4,91116,"因达尔·詹杜巴耶夫","马特维·雷科夫/玛利亚·波兹哈娃/斯坦尼斯拉夫·柳布申","爱情/奇幻/冒险","俄罗斯",6013,2016-08-19,"进口"
682,"外公芳龄38",4.2,12074,"安兵基","佟大为/陈妍希/吕云骢","剧情/喜剧","中国大陆/韩国",6009,2016-11-11,"国产"
